Connection Count,Handshake Duration (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
4863,0.026584148406983,1661038383.38657,242,1661038383.38866,242,1661038383.38894,90,1661038383.41316,90
4864,0.035896062850952,1661038384.24886,242,1661038384.25062,242,1661038384.25078,90,1661038384.28475,90
4865,0.035444021224976,1661038386.32748,242,1661038386.32921,242,1661038386.32943,90,1661038386.36292,90
4866,0.145965099334717,1661038387.21867,242,1661038387.22022,242,1661038387.22039,90,1661038387.36464,114
4867,0.01937198638916,1661038388.08536,242,1661038388.08632,242,1661038388.08641,90,1661038388.10473,90
4868,0.015501022338867,1661038388.94786,242,1661038388.9494,242,1661038388.9496,90,1661038388.96336,90
4869,0.019170045852661,1661038389.81184,242,1661038389.8134,242,1661038389.81357,90,1661038389.83101,90
4870,0.022284030914307,1661038390.64392,242,1661038390.64552,242,1661038390.64569,90,1661038390.66621,90
4871,0.048203945159912,1661038390.99987,242,1661038391.00171,242,1661038391.00194,90,1661038391.04808,90
4872,0.031552791595459,1661038391.87266,242,1661038391.87413,242,1661038391.87428,90,1661038391.90421,90
4873,0.02361798286438,1661038392.74412,242,1661038392.74566,242,1661038392.74585,90,1661038392.76774,114
4874,0.026285886764526,1661038393.60862,242,1661038393.61036,242,1661038393.61056,90,1661038393.6349,90
4875,0.030754089355469,1661038394.47959,242,1661038394.48129,242,1661038394.48153,90,1661038394.51034,90
4876,0.002991199493408,1661038395.34329,242,1661038395.34511,242,1661038395.34538,90,1661038395.34628,90
4877,0.017529964447022,1661038396.15854,242,1661038396.1605,242,1661038396.16073,90,1661038396.17607,114
4878,0.041738986968994,1661038396.53173,242,1661038396.53334,242,1661038396.53351,90,1661038396.57347,90
4879,0.040262937545776,1661038397.40417,242,1661038397.40591,242,1661038397.40608,90,1661038397.44443,90
4880,0.029582023620606,1661038398.27607,242,1661038398.27777,242,1661038398.278,90,1661038398.30565,114
4881,0.035297870635986,1661038399.15124,242,1661038399.15306,242,1661038399.15329,90,1661038399.18654,90
4882,0.010828018188477,1661038400.02409,242,1661038400.02576,242,1661038400.02596,90,1661038400.03492,90
4883,0.041090965270996,1661038400.88906,242,1661038400.89049,242,1661038400.89068,114,1661038400.93015,114
4884,0.016295909881592,1661038402.95396,242,1661038402.95577,242,1661038402.95595,90,1661038402.97026,90
4885,0.05112099647522,1661038403.83314,242,1661038403.83479,242,1661038403.83496,90,1661038403.88426,90
4886,0.009835958480835,1661038404.70277,242,1661038404.7044,242,1661038404.70471,90,1661038404.71261,90
4887,0.026686191558838,1661038405.57057,242,1661038405.57213,242,1661038405.57236,90,1661038405.59726,90
4888,0.031646966934204,1661038406.43089,242,1661038406.43254,242,1661038406.43282,90,1661038406.46254,114
4889,0.050370931625366,1661038407.22401,242,1661038407.22558,242,1661038407.22583,90,1661038407.27438,90
4890,0.023009061813355,1661038407.62299,242,1661038407.62447,242,1661038407.62468,90,1661038407.646,90
4891,0.047719955444336,1661038408.49525,242,1661038408.4969,242,1661038408.49711,90,1661038408.54297,90
4892,0.025251150131226,1661038409.35915,242,1661038409.36077,242,1661038409.36099,90,1661038409.3844,90
4893,0.028923034667969,1661038410.23202,242,1661038410.23372,242,1661038410.23396,90,1661038410.26095,114
4894,0.017762184143066,1661038411.10934,242,1661038411.11104,242,1661038411.11128,90,1661038411.1271,114
4895,0.018349885940552,1661038411.97069,242,1661038411.97229,242,1661038411.97247,90,1661038411.98904,90
4896,0.016734123229981,1661038412.74349,242,1661038412.74509,242,1661038412.74526,90,1661038412.76023,90
4897,0.018786907196045,1661038413.16719,242,1661038413.16877,242,1661038413.16903,90,1661038413.18597,90
4898,0.022292137145996,1661038414.05413,242,1661038414.05583,242,1661038414.056,90,1661038414.07643,90
4899,0.004475116729736,1661038414.9194,242,1661038414.92102,242,1661038414.92119,90,1661038414.92387,114
4900,0.031613111495972,1661038415.78388,242,1661038415.78555,242,1661038415.78573,90,1661038415.81549,90
4901,0.017656087875366,1661038416.65278,242,1661038416.65449,242,1661038416.65467,90,1661038416.67044,90
4902,0.043356895446777,1661038417.52079,242,1661038417.52263,242,1661038417.5229,90,1661038417.56415,90
4903,0.04963493347168,1661038418.26282,242,1661038418.26445,242,1661038418.26461,90,1661038418.31246,90
4904,0.017068862915039,1661038418.71213,242,1661038418.71394,242,1661038418.71416,90,1661038418.7292,90
4905,0.030980110168457,1661038419.57957,242,1661038419.58129,242,1661038419.5815,90,1661038419.61055,90
4906,0.040398120880127,1661038420.4468,242,1661038420.44842,242,1661038420.44864,90,1661038420.4872,114
4907,0.015054941177368,1661038421.31228,242,1661038421.31396,242,1661038421.31418,90,1661038421.32734,90
4908,0.023236036300659,1661038422.18146,242,1661038422.18306,242,1661038422.18321,90,1661038422.2047,114
4909,0.033976793289185,1661038423.05781,242,1661038423.05944,242,1661038423.05966,90,1661038423.09179,114
4910,0.045665979385376,1661038423.81657,242,1661038423.81854,242,1661038423.81871,90,1661038423.86224,114
4911,0.004936933517456,1661038424.24807,242,1661038424.24994,242,1661038424.25008,90,1661038424.253,90
4912,0.017944097518921,1661038425.11244,242,1661038425.1144,242,1661038425.11462,90,1661038425.13039,90
4913,0.027511119842529,1661038425.98054,242,1661038425.98241,242,1661038425.98261,90,1661038426.00805,90
4914,0.047394990921021,1661038426.8496,242,1661038426.85124,242,1661038426.85143,90,1661038426.897,90
4915,0.034253120422363,1661038427.73335,242,1661038427.73501,242,1661038427.73516,90,1661038427.7676,90
4916,0.022098064422608,1661038428.61579,242,1661038428.61799,242,1661038428.61813,90,1661038428.63789,114
