Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
8883,0.059943914413452,1661152925.86938,1661152925.80944,168,1661152925.80982,168,1661152925.80994,114,1661152925.86938,114
8884,0.024940967559815,1661152931.37814,1661152931.3532,168,1661152931.35373,168,1661152931.35389,90,1661152931.37814,90
8885,0.049192905426025,1661152936.94732,1661152936.89813,168,1661152936.8986,168,1661152936.89875,90,1661152936.94732,114
8886,0.008301019668579,1661152942.43216,1661152942.42386,168,1661152942.42427,168,1661152942.42444,90,1661152942.43216,90
8887,0.007959127426147,1661152947.95275,1661152947.94479,168,1661152947.94522,168,1661152947.94538,90,1661152947.95275,90
8888,0.010670900344849,1661152953.47155,1661152953.46087,168,1661152953.46136,168,1661152953.46151,114,1661152953.47155,90
8889,0.061536073684692,1661152959.05198,1661152958.99044,168,1661152958.99105,168,1661152958.99127,90,1661152959.05198,90
8890,0.04541802406311,1661152964.56806,1661152964.52264,168,1661152964.52325,168,1661152964.52348,90,1661152964.56806,90
8891,0.001909017562866,1661152970.08592,1661152970.08401,168,1661152970.08444,168,1661152970.08465,90,1661152970.08592,90
8892,0.008054971694946,1661152975.67493,1661152975.66687,168,1661152975.66754,168,1661152975.66775,90,1661152975.67493,90
8893,0.045402050018311,1661152981.24123,1661152981.19583,168,1661152981.19639,168,1661152981.19657,90,1661152981.24123,90
8894,0.011581897735596,1661152997.81243,1661152997.80085,168,1661152997.80128,168,1661152997.80149,90,1661152997.81243,90
8895,0.052249908447266,1661153003.45988,1661153003.40763,168,1661153003.40813,168,1661153003.40829,90,1661153003.45988,114
8896,0.046036958694458,1661153008.969,1661153008.92296,168,1661153008.92347,168,1661153008.9236,114,1661153008.969,90
8897,0.001460075378418,1661153014.45697,1661153014.45551,168,1661153014.45626,168,1661153014.45644,90,1661153014.45697,114
8898,0.044673919677734,1661153020.02179,1661153019.97711,168,1661153019.97754,168,1661153019.9777,90,1661153020.02179,114
8899,0.05246901512146,1661153025.57155,1661153025.51908,168,1661153025.51952,168,1661153025.5197,90,1661153025.57155,90
8900,0.021826982498169,1661153031.07025,1661153031.04842,168,1661153031.0489,168,1661153031.04905,114,1661153031.07025,114
8901,0.030391931533814,1661153036.60225,1661153036.57186,168,1661153036.57255,168,1661153036.57279,90,1661153036.60225,90
8902,0.027163028717041,1661153042.15688,1661153042.12972,168,1661153042.13027,168,1661153042.13069,90,1661153042.15688,90
8903,0.004716873168945,1661153047.66819,1661153047.66347,168,1661153047.66417,168,1661153047.66448,90,1661153047.66819,90
8904,0.036090850830078,1661153053.23856,1661153053.20246,168,1661153053.20283,168,1661153053.20301,90,1661153053.23856,114
